label,lat,lon,event_date,rain_1d,rain_3d,rain_7d,rain_15d,rain_max_7d,elevation_m,slope_deg,month_sin,month_cos
1,28.8378,81.708,2009-07-31,2.1,26.0,148.6,238.0,85.9,2298.8,2.44,-0.5,-0.866
1,26.8826,88.2788,2009-07-22,14.9,29.3,52.1,150.7,14.9,1313.5,0.0,-0.5,-0.866
1,26.8572,88.3143,2009-07-22,11.6,42.4,75.7,223.9,27.6,1313.5,0.0,-0.5,-0.866
1,28.2039,83.9806,2009-07-02,34.6,173.9,342.3,387.3,76.8,1230.0,16.57,-0.5,-0.866
1,27.9447,84.2279,2009-07-02,9.7,99.1,288.3,300.3,118.1,1265.4,0.0,-0.5,-0.866
1,27.478,88.527,2009-07-01,37.7,104.5,236.4,386.7,54.0,3239.6,0.0,-0.5,-0.866
1,28.0,85.71,2009-07-27,82.3,154.4,189.1,286.1,82.3,2909.1,0.0,-0.5,-0.866
1,28.1046,83.8791,2009-07-31,11.0,45.5,451.1,522.8,295.9,1230.0,0.0,-0.5,-0.866
1,25.3098633,94.48214677,2010-07-29,19.9,43.2,124.5,235.6,36.7,1356.6,0.41,-0.5,-0.866
1,29.7334,79.6367,2011-07-21,8.6,48.1,165.8,370.8,61.6,1085.6,2.49,-0.5,-0.866
1,33.8778,74.3333,2007-03-19,38.1,46.1,54.0,165.7,38.1,2235.4,1.02,1.0,0.0
1,30.7666,78.7963,2011-06-29,17.2,51.5,136.9,182.8,56.5,4043.1,9.35,0.0,-1.0
1,27.7394,83.5754,2011-07-03,12.9,87.0,259.0,327.9,98.7,280.2,9.02,-0.5,-0.866
1,28.3683,83.2934,2011-07-03,8.3,58.2,195.7,336.7,51.9,2863.4,0.0,-0.5,-0.866
1,28.0889,83.2934,2011-07-03,11.5,127.3,413.3,505.8,134.5,1167.6,0.0,-0.5,-0.866
1,30.7652,78.5925,2011-07-09,12.8,60.9,104.9,298.5,33.0,4043.1,12.2,-0.5,-0.866
1,30.7331,79.0685,2011-07-09,10.7,49.3,62.9,166.8,26.6,3184.1,14.16,-0.5,-0.866
1,31.0188,78.4129,2011-07-09,8.3,31.7,48.9,153.3,12.3,2523.7,3.91,-0.5,-0.866
1,30.4043,79.3318,2011-07-21,12.7,41.1,88.7,197.3,22.3,3184.1,0.0,-0.5,-0.866
1,27.83196401,84.54704621,2017-07-03,18.8,59.1,100.6,284.9,23.8,1265.4,0.0,-0.5,-0.866
1,28.3875,82.6474,2011-09-17,2.0,25.9,63.2,138.3,16.5,1919.1,0.83,-1.0,-0.0
1,26.324724,94.514651,2016-09-05,15.8,68.2,132.5,185.7,31.5,482.6,2.19,-1.0,-0.0
1,27.593,88.492,2016-08-16,15.6,46.6,117.5,257.7,24.5,3239.6,0.0,-0.866,-0.5
1,31.0226,77.1029,2012-09-18,21.1,44.2,57.7,150.7,21.9,897.6,0.0,-1.0,-0.0
1,27.8385,88.556,2012-09-19,35.1,75.1,205.9,231.7,38.0,4609.4,2.23,-1.0,-0.0
1,27.6558,88.605,2012-09-19,44.0,86.2,273.1,414.7,59.6,3239.6,1.78,-1.0,-0.0
1,27.769034,84.854632,2016-09-02,19.1,48.5,97.7,192.5,20.4,1948.3,1.78,-1.0,-0.0
1,21.61900923,91.92597729,2017-07-04,45.8,135.8,186.3,319.4,52.5,16.7,0.0,-0.5,-0.866
1,30.4954,78.3881,2013-06-16,127.1,177.5,227.9,287.4,127.1,1403.9,0.0,0.0,-1.0
1,30.885,78.6695,2013-06-16,120.1,187.2,250.7,340.4,120.1,4043.1,0.0,0.0,-1.0
1,29.7986,80.417,2013-06-16,97.0,125.3,172.5,201.7,97.0,3297.8,3.17,0.0,-1.0
1,26.092493,94.257523,2016-09-05,18.2,50.7,78.8,130.7,22.1,997.1,0.0,-1.0,-0.0
1,10.9628,77.5947,2013-06-25,2.3,3.0,41.6,74.8,24.0,284.1,0.14,0.0,-1.0
1,28.4311,82.1847,2013-07-14,13.6,38.6,228.0,412.3,107.1,1118.7,2.02,-0.5,-0.866
1,25.7658,93.9413,2013-07-17,2.0,96.8,158.2,249.5,60.2,504.5,2.06,-0.5,-0.866
1,28.6202,82.4393,2013-07-14,15.9,35.2,165.8,344.3,70.0,1919.1,2.27,-0.5,-0.866
1,25.7131,94.0885,2013-07-17,2.0,96.8,158.2,249.5,60.2,1356.6,4.98,-0.5,-0.866
1,22.35037081,91.83258101,2017-06-13,42.3,267.9,325.4,522.9,159.2,34.4,0.0,0.0,-1.0
1,28.145796,84.069015,2016-09-06,13.0,21.8,148.5,193.9,64.5,1265.4,3.74,-1.0,-0.0
1,26.1445447,94.24416766,2017-07-01,15.6,47.6,100.3,194.1,21.3,997.1,0.0,-0.5,-0.866
1,21.23699085,92.10434768,2017-07-05,33.3,144.4,237.9,341.5,59.5,4.8,0.2,-0.5,-0.866
1,26.20450454,91.87202793,2017-07-03,71.1,147.9,218.8,356.0,71.1,400.0,0.0,-0.5,-0.866
1,22.77997113,92.03513581,2017-07-02,16.7,35.2,55.2,161.0,16.7,76.9,0.85,-0.5,-0.866
1,27.513641,87.640957,2016-09-02,79.0,143.8,173.4,271.7,79.0,2650.4,0.0,-1.0,-0.0
1,25.4976444,94.12901274,2017-07-04,19.1,59.6,132.9,274.1,35.0,1356.6,0.0,-0.5,-0.866
1,27.833565,85.201673,2016-09-04,30.8,89.4,132.9,205.6,46.5,1948.3,0.0,-1.0,-0.0
1,27.167781,87.055222,2017-07-03,37.5,79.6,162.4,353.8,37.5,919.5,2.84,-0.5,-0.866
1,26.22247247,91.92053028,2017-07-03,57.4,144.2,209.6,341.7,57.4,400.0,0.0,-0.5,-0.866
1,28.377188,83.498645,2016-09-04,9.2,70.1,118.2,168.6,49.5,3042.5,0.0,-1.0,-0.0
1,26.1061808,91.85158907,2017-07-03,89.4,154.5,238.1,370.9,89.4,400.0,0.0,-0.5,-0.866
1,26.10430759,91.86227824,2017-07-03,89.4,154.5,238.1,370.9,89.4,400.0,0.0,-0.5,-0.866
1,22.74955141,92.22099982,2017-06-13,53.7,313.4,399.4,585.9,185.4,299.2,0.34,0.0,-1.0
1,22.80452414,91.91261915,2017-06-13,18.7,289.6,347.9,558.1,219.9,76.9,0.07,0.0,-1.0
1,31.956546,77.109719,2016-09-02,2.2,23.1,81.7,166.4,25.9,2281.7,3.59,-1.0,-0.0
1,34.525881,71.398496,2016-09-08,0.0,0.4,0.6,27.8,0.4,991.3,1.17,-1.0,-0.0
1,27.90362599,85.91050294,2017-07-02,4.0,60.5,137.6,196.1,42.3,2909.1,3.15,-0.5,-0.866
1,27.98531715,94.21263589,2017-07-04,101.0,160.7,388.2,566.9,109.3,1160.0,0.76,-0.5,-0.866
1,26.11613908,94.24222574,2017-07-01,15.6,47.6,100.3,194.1,21.3,997.1,0.0,-0.5,-0.866
1,21.42181705,92.17584376,2017-07-05,32.1,118.5,194.7,311.4,48.3,16.7,0.14,-0.5,-0.866
1,27.97875751,94.26296826,2017-07-04,101.0,160.7,388.2,566.9,109.3,1160.0,0.84,-0.5,-0.866
1,21.04270451,92.21525816,2017-06-14,92.0,254.0,440.6,513.0,142.5,82.8,0.73,0.0,-1.0
1,26.90298048,88.29518925,2017-07-05,38.6,137.6,259.8,470.8,74.3,1313.5,0.0,-0.5,-0.866
1,27.878121,85.143062,2017-07-05,11.8,55.9,210.5,275.6,78.8,1948.3,0.0,-0.5,-0.866
1,23.69461107,92.87641207,2017-06-28,12.8,27.8,61.2,157.6,18.3,943.9,1.25,0.0,-1.0
1,26.3312531,94.55427723,2017-07-01,24.0,50.0,113.0,298.1,24.0,482.6,2.27,-0.5,-0.866
1,27.02149311,88.25902123,2017-07-06,21.3,115.8,280.1,494.5,80.0,1313.5,0.0,-0.5,-0.866
1,28.372874,83.567989,2016-08-16,5.1,24.3,59.1,106.4,14.5,3042.5,0.0,-0.866,-0.5
1,27.06992579,93.6146564,2017-06-19,15.6,77.8,208.7,249.3,93.4,474.7,0.0,0.0,-1.0
1,28.069957,85.01,2016-08-14,20.4,36.1,80.3,166.8,20.4,1948.3,0.0,-0.866,-0.5
1,34.27703802,75.46743478,2017-06-05,1.6,1.6,8.0,10.3,6.1,4054.4,0.77,0.0,-1.0
1,16.28332586,80.26097734,2017-05-27,2.6,6.0,11.6,13.1,4.2,85.5,0.04,0.5,-0.866
1,30.070512,80.237218,2016-08-10,21.9,54.4,184.2,394.8,57.1,2347.7,0.95,-0.866,-0.5
1,24.21988831,93.20266204,2017-06-26,34.9,84.7,149.3,264.0,34.9,758.3,0.66,0.0,-1.0
1,27.6835,86.1804,2016-08-09,16.2,60.7,143.5,345.4,25.3,2153.1,5.58,-0.866,-0.5
1,11.34165808,76.8694278,2017-06-01,3.7,17.9,56.3,120.5,18.1,784.6,0.0,0.0,-1.0
1,32.62803,75.37123,2017-06-21,6.8,20.0,22.2,36.9,7.5,1054.2,1.53,0.0,-1.0
1,25.15246863,92.94670614,2017-06-04,9.6,206.1,531.3,622.8,176.8,467.1,0.0,0.0,-1.0
1,21.87861504,92.2676503,2017-06-13,33.0,273.0,422.3,594.1,156.0,276.0,0.3,0.0,-1.0
1,24.30415689,93.18182448,2017-06-27,15.1,71.1,147.8,227.6,33.0,455.5,0.64,0.0,-1.0
1,30.56504675,79.56163208,2017-05-20,1.8,9.2,12.5,17.8,5.6,3184.1,0.0,0.5,-0.866
1,31.581485,78.412784,2016-08-15,5.3,14.2,37.5,86.4,10.0,3817.5,0.87,-0.866,-0.5
1,26.88161,95.399897,2016-08-16,1.4,26.1,57.5,222.3,21.9,846.9,0.79,-0.866,-0.5
1,30.73315585,79.49231617,2017-05-20,0.2,5.6,17.1,17.9,8.2,3184.1,5.18,0.5,-0.866
1,33.63251807,75.23162006,2017-06-21,20.3,23.7,25.4,35.2,20.3,2359.8,1.17,0.0,-1.0
1,13.90074546,74.66018578,2017-06-12,133.9,543.8,697.5,820.7,286.1,107.1,0.33,0.0,-1.0
