label,lat,lon,event_date,rain_1d,rain_3d,rain_7d,rain_15d,rain_max_7d,elevation_m,slope_deg,month_sin,month_cos
1,28.8378,81.708,2009-07-31,2.1,26.0,148.6,238.0,85.9,1370.0,15.47,-0.5,-0.866
1,26.8826,88.2788,2009-07-22,14.9,29.3,52.1,150.7,14.9,1525.0,18.26,-0.5,-0.866
1,26.8572,88.3143,2009-07-22,11.6,42.4,75.7,223.9,27.6,1071.0,18.89,-0.5,-0.866
1,28.2039,83.9806,2009-07-02,34.6,173.9,342.3,387.3,76.8,829.0,1.22,-0.5,-0.866
1,27.9447,84.2279,2009-07-02,9.7,99.1,288.3,300.3,118.1,556.0,26.35,-0.5,-0.866
1,27.478,88.527,2009-07-01,37.7,104.5,236.4,386.7,54.0,771.0,24.63,-0.5,-0.866
1,28.0,85.71,2009-07-27,82.3,154.4,189.1,286.1,82.3,3137.0,39.05,-0.5,-0.866
1,28.1046,83.8791,2009-07-31,11.0,45.5,451.1,522.8,295.9,834.0,18.75,-0.5,-0.866
1,25.3098633,94.48214677,2010-07-29,19.9,43.2,124.5,235.6,36.7,1559.0,24.25,-0.5,-0.866
1,29.7334,79.6367,2011-07-21,8.6,48.1,165.8,370.8,61.6,1629.0,23.94,-0.5,-0.866
1,33.8778,74.3333,2007-03-19,38.1,46.1,54.0,165.7,38.1,2655.0,27.11,1.0,0.0
1,30.7666,78.7963,2011-06-29,17.2,51.5,136.9,182.8,56.5,3841.0,34.61,0.0,-1.0
1,27.7394,83.5754,2011-07-03,12.9,87.0,259.0,327.9,98.7,1053.0,25.53,-0.5,-0.866
1,28.3683,83.2934,2011-07-03,8.3,58.2,195.7,336.7,51.9,2880.0,42.38,-0.5,-0.866
1,28.0889,83.2934,2011-07-03,11.5,127.3,413.3,505.8,134.5,1213.0,35.51,-0.5,-0.866
1,30.7652,78.5925,2011-07-09,12.8,60.9,104.9,298.5,33.0,1420.0,21.69,-0.5,-0.866
1,30.7331,79.0685,2011-07-09,10.7,49.3,62.9,166.8,26.6,3530.0,9.52,-0.5,-0.866
1,31.0188,78.4129,2011-07-09,8.3,31.7,48.9,153.3,12.3,3317.0,41.95,-0.5,-0.866
1,30.4043,79.3318,2011-07-21,12.7,41.1,88.7,197.3,22.3,1019.0,33.32,-0.5,-0.866
1,27.83196401,84.54704621,2017-07-03,18.8,59.1,100.6,284.9,23.8,238.0,15.94,-0.5,-0.866
1,28.3875,82.6474,2011-09-17,2.0,25.9,63.2,138.3,16.5,1898.0,28.8,-1.0,-0.0
1,26.324724,94.514651,2016-09-05,15.8,68.2,132.5,185.7,31.5,1243.0,11.96,-1.0,-0.0
1,27.593,88.492,2016-08-16,15.6,46.6,117.5,257.7,24.5,3257.0,39.59,-0.866,-0.5
1,31.0226,77.1029,2012-09-18,21.1,44.2,57.7,150.7,21.9,1649.0,22.46,-1.0,-0.0
1,27.8385,88.556,2012-09-19,35.1,75.1,205.9,231.7,38.0,3832.0,18.38,-1.0,-0.0
1,27.6558,88.605,2012-09-19,44.0,86.2,273.1,414.7,59.6,1950.0,6.33,-1.0,-0.0
1,27.769034,84.854632,2016-09-02,19.1,48.5,97.7,192.5,20.4,719.0,18.88,-1.0,-0.0
1,21.61900923,91.92597729,2017-07-04,45.8,135.8,186.3,319.4,52.5,23.0,5.55,-0.5,-0.866
1,30.4954,78.3881,2013-06-16,127.1,177.5,227.9,287.4,127.1,937.0,26.48,0.0,-1.0
1,30.885,78.6695,2013-06-16,120.1,187.2,250.7,340.4,120.1,1905.0,36.15,0.0,-1.0
1,29.7986,80.417,2013-06-16,97.0,125.3,172.5,201.7,97.0,789.0,30.48,0.0,-1.0
1,26.092493,94.257523,2016-09-05,18.2,50.7,78.8,130.7,22.1,1359.0,9.22,-1.0,-0.0
